City_ID,coord,weather,base,main,visibility,wind,clouds,dt,sys,timezone,id,name,cod,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,rain,snow
390,"{'lon': 131.047, 'lat': -12.497}","[{'id': 801, 'main': 'Clouds', 'description': 'few clouds', 'icon': '02d'}]",stations,"{'temp': 33.32, 'feels_like': 34.53, 'temp_min': 32.95, 'temp_max': 33.32, 'pressure': 1010, 'humidity': 41, 'sea_level': 1010, 'grnd_level': 1008}",10000.0,"{'speed': 2.61, 'deg': 121, 'gust': 4.11}",{'all': 11},1722582547.0,"{'type': 2, 'id': 2009981, 'country': 'AU', 'sunrise': 1722548083, 'sunset': 1722589760}",34200.0,2073124.0,Howard Springs,200.0,,,,,,,,,,,
391,,,,,,,,,,,,,,howard springs,-12.497,131.047,33.32,41.0,11.0,2.61,AU,1722582547.0,,
392,"{'lon': -2.2405, 'lat': 4.8699}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 23.72, 'feels_like': 24.5, 'temp_min': 23.72, 'temp_max': 23.72, 'pressure': 1014, 'humidity': 90, 'sea_level': 1014, 'grnd_level': 1012}",10000.0,"{'speed': 2.46, 'deg': 210, 'gust': 5.22}",{'all': 100},1722582548.0,"{'country': 'GH', 'sunrise': 1722578726, 'sunset': 1722623092}",0.0,2303611.0,Esim,200.0,,,,,,,,,,,
393,,,,,,,,,,,,,,axim,4.8699,-2.2405,23.72,90.0,100.0,2.46,GH,1722582548.0,,
394,"{'lon': 86.1469, 'lat': 41.7597}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 34.47, 'feels_like': 32.69, 'temp_min': 34.47, 'temp_max': 34.47, 'pressure': 999, 'humidity': 22, 'sea_level': 999, 'grnd_level': 883}",10000.0,"{'speed': 3.53, 'deg': 244, 'gust': 4.03}",{'all': 0},1722582549.0,"{'country': 'CN', 'sunrise': 1722553827, 'sunset': 1722605567}",28800.0,1529376.0,Korla,200.0,,,,,,,,,,,
395,,,,,,,,,,,,,,korla,41.7597,86.1469,34.47,22.0,0.0,3.53,CN,1722582549.0,,
396,"{'lon': 73.3333, 'lat': 25.7667}","[{'id': 501, 'main': 'Rain', 'description': 'moderate rain', 'icon': '10d'}]",stations,"{'temp': 25.86, 'feels_like': 26.88, 'temp_min': 25.86, 'temp_max': 25.86, 'pressure': 998, 'humidity': 91, 'sea_level': 998, 'grnd_level': 973}",10000.0,"{'speed': 5.98, 'deg': 226, 'gust': 10.29}",{'all': 100},1722582550.0,"{'country': 'IN', 'sunrise': 1722558809, 'sunset': 1722606735}",19800.0,1260716.0,Pāli,200.0,,,,,,,,,,{'1h': 2.05},
397,,,,,,,,,,,,,,pali,25.7667,73.3333,25.86,91.0,100.0,5.98,IN,1722582550.0,,
398,"{'lon': -121.0208, 'lat': 37.3138}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",stations,"{'temp': 26.36, 'feels_like': 26.36, 'temp_min': 25.59, 'temp_max': 27.99, 'pressure': 1015, 'humidity': 37, 'sea_level': 1015, 'grnd_level': 1008}",10000.0,"{'speed': 1.95, 'deg': 263, 'gust': 2.86}",{'all': 100},1722582297.0,"{'type': 2, 'id': 2004582, 'country': 'US', 'sunrise': 1722604193, 'sunset': 1722654637}",-25200.0,5376870.0,Newman,200.0,,,,,,,,,,,
399,,,,,,,,,,,,,,newman,37.3138,-121.0208,27.99,37.0,100.0,1.95,US,1722582297.0,,
400,"{'lon': 78.7, 'lat': 67.4667}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",stations,"{'temp': 18.73, 'feels_like': 18.56, 'temp_min': 18.73, 'temp_max': 18.73, 'pressure': 1004, 'humidity': 73, 'sea_level': 1004, 'grnd_level': 1001}",10000.0,"{'speed': 4.29, 'deg': 78, 'gust': 5.11}",{'all': 81},1722582552.0,"{'country': 'RU', 'sunrise': 1722546919, 'sunset': 1722616049}",18000.0,1489853.0,Tazovsky,200.0,,,,,,,,,,{'1h': 0.58},
401,,,,,,,,,,,,,,tazovsky,67.4667,78.7,18.73,73.0,81.0,4.29,RU,1722582552.0,,
402,"{'lon': -83.7667, 'lat': 15.2667}","[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10n'}]",stations,"{'temp': 25.74, 'feels_like': 26.69, 'temp_min': 25.74, 'temp_max': 25.74, 'pressure': 1014, 'humidity': 89, 'sea_level': 1014, 'grnd_level': 1013}",10000.0,"{'speed': 2.42, 'deg': 72, 'gust': 3.8}",{'all': 100},1722582553.0,"{'country': 'HN', 'sunrise': 1722597465, 'sunset': 1722643483}",-21600.0,3603157.0,Puerto Lempira,200.0,,,,,,,,,,{'1h': 0.93},
403,,,,,,,,,,,,,,puerto lempira,15.2667,-83.7667,25.74,89.0,100.0,2.42,HN,1722582553.0,,
404,"{'lon': 31.9548, 'lat': -25.4332}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 20.34, 'feels_like': 20.18, 'temp_min': 20.34, 'temp_max': 20.34, 'pressure': 1024, 'humidity': 67, 'sea_level': 1024, 'grnd_level': 1006}",10000.0,"{'speed': 3.9, 'deg': 338, 'gust': 7.35}",{'all': 0},1722582471.0,"{'country': 'ZA', 'sunrise': 1722572960, 'sunset': 1722612445}",7200.0,988290.0,Komatipoort,200.0,,,,,,,,,,,
405,,,,,,,,,,,,,,komatipoort,-25.4332,31.9548,20.34,67.0,0.0,3.9,ZA,1722582471.0,,
406,"{'lon': -156.3051, 'lat': 20.9219}","[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",stations,"{'temp': 22.78, 'feels_like': 23.18, 'temp_min': 22.16, 'temp_max': 24.03, 'pressure': 1018, 'humidity': 79, 'sea_level': 1018, 'grnd_level': 1000}",10000.0,"{'speed': 4.12, 'deg': 60}",{'all': 75},1722582555.0,"{'type': 2, 'id': 2016690, 'country': 'US', 'sunrise': 1722527969, 'sunset': 1722575004}",-36000.0,7262697.0,Haiku-Pauwela,200.0,,,,,,,,,,,
407,,,,,,,,,,,,,,haiku-pauwela,20.9219,-156.3051,24.03,79.0,75.0,4.12,US,1722582555.0,,
408,"{'lon': 113.9611, 'lat': 62.5353}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 19.25, 'feels_like': 18.12, 'temp_min': 19.25, 'temp_max': 19.25, 'pressure': 1010, 'humidity': 34, 'sea_level': 1010, 'grnd_level': 974}",10000.0,"{'speed': 2.57, 'deg': 114, 'gust': 3.08}",{'all': 90},1722582557.0,"{'country': 'RU', 'sunrise': 1722541725, 'sunset': 1722604318}",32400.0,2019951.0,Mirny,200.0,,,,,,,,,,,
409,,,,,,,,,,,,,,mirny,62.5353,113.9611,19.25,34.0,90.0,2.57,RU,1722582557.0,,
410,"{'lon': 17.691, 'lat': -14.6585}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",stations,"{'temp': 19.38, 'feels_like': 17.9, 'temp_min': 19.38, 'temp_max': 19.38, 'pressure': 1019, 'humidity': 20, 'sea_level': 1019, 'grnd_level': 872}",10000.0,"{'speed': 2.89, 'deg': 42, 'gust': 6.36}",{'all': 0},1722582558.0,"{'country': 'AO', 'sunrise': 1722575456, 'sunset': 1722616796}",3600.0,3347353.0,Menongue,200.0,,,,,,,,,,,
411,,,,,,,,,,,,,,menongue,-14.6585,17.691,19.38,20.0,0.0,2.89,AO,1722582558.0,,
412,"{'lon': 33.4478, 'lat': 69.1989}","[{'id': 802, 'main': 'Clouds', 'description': 'scattered clouds', 'icon': '03d'}]",stations,"{'temp': 11.96, 'feels_like': 11.4, 'temp_min': 11.96, 'temp_max': 11.96, 'pressure': 1012, 'humidity': 84, 'sea_level': 1012, 'grnd_level': 1005}",10000.0,"{'speed': 5.73, 'deg': 22, 'gust': 6.21}",{'all': 46},1722582507.0,"{'country': 'RU', 'sunrise': 1722555903, 'sunset': 1722628785}",10800.0,506763.0,Polyarny,200.0,,,,,,,,,,,
413,,,,,,,,,,,,,,polyarnyy,69.1989,33.4478,11.96,84.0,46.0,5.73,RU,1722582507.0,,
414,"{'lon': 105.6791, 'lat': -10.4217}","[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",stations,"{'temp': 25.82, 'feels_like': 26.62, 'temp_min': 25.82, 'temp_max': 25.82, 'pressure': 1012, 'humidity': 83, 'sea_level': 1012, 'grnd_level': 1011}",10000.0,"{'speed': 4.12, 'deg': 130}",{'all': 100},1722582560.0,"{'type': 1, 'id': 9592, 'country': 'CX', 'sunrise': 1722554005, 'sunset': 1722596013}",25200.0,2078127.0,Flying Fish Cove,200.0,,,,,,,,,,,
415,,,,,,,,,,,,,,flying fish cove,-10.4217,105.6791,25.82,83.0,100.0,4.12,CX,1722582560.0,,
416,"{'lon': -56.0522, 'lat': -34.8603}","[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",stations,"{'temp': 21.08, 'feels_like': 21.28, 'temp_min': 21.08, 'temp_max': 21.25, 'pressure': 1008, 'humidity': 78, 'sea_level': 1008, 'grnd_level': 1006}",10000.0,"{'speed': 5.66, 'deg': 30}",{'all': 0},1722582561.0,"{'type': 1, 'id': 8713, 'country': 'UY', 'sunrise': 1722595028, 'sunset': 1722632618}",-10800.0,3441292.0,Paso de Carrasco,200.0,,,,,,,,,,,
